Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
89,169,Harsh Trading Company,"Avadh Agarwal, Harsh Agarwal",Bareilly,SERVICE
90,171,Herbo Chem Pharmaceuticals,Pranav Dass,Bareilly,PHARMACEUTICAL & MEDICAL PRODUCTS
91,173,Hotel Bareilly Palace,Satish Kumar Agarwal,Bareilly,SERVICE
92,175,Hotel Swarn Towers,Raj Shekhar,Bareilly,SERVICE
93,176,Indian Wood Products Company Ltd.,"K.K. Damani, R.K. Agarwal",Bareilly,AGRO & FOOD PROCESSING
94,177,Invertis University,Umesh Gautam,Bareilly,SERVICE
95,179,Jaipur Scientifics & Chemicals,"Anupam K. Khandelwal, Autl Khandelwal, Jai Krishna Khandelwal",Bareilly,ELECTRICAL & ELECTRONICS
96,181,Jyoti Brick Field,"P.K. Wadhwani, K.K. Wadhwani, M.K. Wadhwani",Bareilly,GLASS & CERAMICS
97,182,Adtek Print & Media Pvt. Ltd.,"Rajesh Taneja, Dinesh Taneja",Bareilly,"PAPER, PRINTING & PUBLISHING"
98,183,K. R. Agro Industries,Vijay Kumar Sharma,Bareilly,AGRO & FOOD PROCESSING
99,185,Kapilmuni Enterprises,"Er.C.A. Sundarani, Aruna Sundarani,Er.Suresh",Bareilly,MACHINERY EQUIPMENTS
100,186,Kays Biscuit Pvt. Ltd. ,Sandeep Hari ,Bareilly,AGRO & FOOD PROCESSING
,,,,,
101,187,Khandelwal Fibres,Bipin Kumar Khandelwal,Bareilly,GLASS & CERAMICS
102,188,Khandelwal Foams,Sanjeev Khandelwal,Bareilly,FURNITURE & FURNISHINGS
103,190,Kipps Confectioners Pvt. Ltd.,Ankit Khandelwal,Bareilly,AGRO & FOOD PROCESSING
104,191,Krishi Discs Pvt. Ltd.,VIKAS SINGHAL,Bareilly,ENGINEERING COMPONENTS & SUPPLIES
105,192,Krishna Cold Storage & Ice Factory,"Anoop Kumar Gupta, Prashant Gupta",Bareilly,AGRO & FOOD PROCESSING
106,193,Kumar Agencies,Piyush Kumar Agarwal,Bareilly,SERVICE
